supplierID,name,address,street,city,state,phone_number,email,status,onboard,offboard
126,Everglades Reserve,"110 Swamp Rd, Naples, FL 34101",110 Swamp Rd,Naples,FL 34101,800-555-211,reserve@evergladeswater.com,Active,12/1/2024,
127,Columbia Basin Water Co,"120 Basalt Ridge, Kennewick, WA 99336",120 Basalt Ridge,Kennewick,WA 99336,800-555-212,info@columbiabasin.com,Active,1/15/2025,
128,Rocky Mountain Mineral,"130 Elk Run, Colorado Springs, CO 80901",130 Elk Run,Colorado Springs,CO 80901,800-555-213,sales@rockymtnmineral.com,Active,2/1/2025,
129,New England Spring Co,"140 Maple Syrup Ln, Burlington, VT 05401",140 Maple Syrup Ln,Burlington,VT 05401,800-555-214,orders@newenglandspring.com,Active,3/10/2025,
130,Gulf Coast Aqua,"150 Pelican Ave, Pensacola, FL 32501",150 Pelican Ave,Pensacola,FL 32501,800-555-215,gulf@gulfcoastaqua.com,Active,4/1/2025,
131,Denali Deep Springs,"160 Tundra Blvd, Fairbanks, AK 99701",160 Tundra Blvd,Fairbanks,AK 99701,800-555-216,north@denalisprings.com,Active,5/20/2025,
132,Adirondack Pure,"170 Loon Lake Rd, Lake Placid, NY 12946",170 Loon Lake Rd,Lake Placid,NY 12946,800-555-217,pure@adirondackwater.com,Active,6/1/2025,
133,Mesa Verde Minerals,"180 Pueblo Dr, Cortez, CO 81321",180 Pueblo Dr,Cortez,CO 81321,800-555-218,info@mesaverde.com,Active,7/15/2025,
134,Great Plains H2O,"190 Wheat Field Way, Wichita, KS 67201",190 Wheat Field Way,Wichita,KS 67201,800-555-219,plains@greatplainsh2o.com,Active,8/1/2025,
135,Chesapeake Spring Co,"200 Bay Shore Rd, Annapolis, MD 21401",200 Bay Shore Rd,Annapolis,MD 21401,800-555-220,info@chesapeakespring.com,Active,9/10/2025,
136,Volcanic Ridge Water,"210 Lava Flow Rd, Bend, OR 97701",210 Lava Flow Rd,Bend,OR 97701,800-555-221,lava@volcanicridge.com,Active,10/1/2025,
137,Teton Source,"220 Jackson Hole Pkwy, Jackson, WY 83001",220 Jackson Hole Pkwy,Jackson,WY 83001,800-555-222,teton@tetonsource.com,Active,11/15/2025,
138,Olympic Peninsula Pure,"230 Rainforest Rd, Port Angeles, WA 98362",230 Rainforest Rd,Port Angeles,WA 98362,800-555-223,ops@olympicpure.com,Active,12/1/2025,
139,Black Hills Spring,"240 Mt Rushmore Rd, Rapid City, SD 57701",240 Mt Rushmore Rd,Rapid City,SD 57701,800-555-224,info@blackhillsspring.com,Active,1/10/2026,
140,Flint Creek Bottlers,"250 Pebble Creek Way, Missoula, MT 59801",250 Pebble Creek Way,Missoula,MT 59801,800-555-225,orders@flintcreek.com,Active,2/1/2026,
141,Rio Grande Aqua,"260 Desert Bloom Ct, Albuquerque, NM 87101",260 Desert Bloom Ct,Albuquerque,NM 87101,800-555-226,rio@riograndeaqua.com,Active,2/15/2026,
142,Piedmont Natural Waters,"270 Red Clay Rd, Raleigh, NC 27601",270 Red Clay Rd,Raleigh,NC 27601,800-555-227,info@piedmontwater.com,Active,3/1/2026,
143,Catskill Mountain Spring,"280 Hudson Valley Way, Kingston, NY 12401",280 Hudson Valley Way,Kingston,NY 12401,800-555-228,ops@catskillspring.com,Active,3/10/2026,
144,Cascade Alkaline Labs,"290 Tech Park Blvd, Bellevue, WA 98004",290 Tech Park Blvd,Bellevue,WA 98004,800-555-229,lab@cascadealkaline.com,Active,3/20/2026,
145,Prairie Wind Water,"300 Windmill Rd, Sioux Falls, SD 57101",300 Windmill Rd,Sioux Falls,SD 57101,800-555-230,info@prairiewind.com,Active,4/1/2026,
146,Blue Hole Artesian,"310 Karst Way, San Marcos, TX 78666",310 Karst Way,San Marcos,TX 78666,800-555-231,blue@bluehole.com,Active,4/5/2026,
147,Smoky Ridge Springs,"320 Laurel Hollow, Gatlinburg, TN 37738",320 Laurel Hollow,Gatlinburg,TN 37738,800-555-232,smoky@smokyridge.com,Active,4/10/2026,
148,Willamette Valley Water,"330 Vineyard Rd, Eugene, OR 97401",330 Vineyard Rd,Eugene,OR 97401,800-555-233,valley@willamettewater.com,Active,4/15/2026,
149,Puget Sound Pure,"340 Ferry Dock Way, Anacortes, WA 98221",340 Ferry Dock Way,Anacortes,WA 98221,800-555-234,sound@pugetsoundpure.com,Active,4/20/2026,
150,Salt Flat Springs,"350 Bonneville Dr, Wendover, UT 84083",350 Bonneville Dr,Wendover,UT 84083,800-555-235,flat@saltflatsprings.com,Active,4/25/2026,
151,High Desert H2O,"360 Sagebrush Blvd, Bend, OR 97702",360 Sagebrush Blvd,Bend,OR 97702,800-555-236,desert@highdesert.com,Active,5/1/2026,
152,Finger Lakes Water Co,"370 Seneca Lake Rd, Geneva, NY 14456",370 Seneca Lake Rd,Geneva,NY 14456,800-555-237,info@fingerlakeswater.com,Active,5/1/2026,
153,Bayou Artesian,"380 Cypress Ct, Lafayette, LA 70501",380 Cypress Ct,Lafayette,LA 70501,800-555-238,bayou@bayouartesian.com,Active,5/5/2026,
154,Olympic Range Mineral,"390 Storm King Rd, Sequim, WA 98382",390 Storm King Rd,Sequim,WA 98382,800-555-239,min@olympicrange.com,Active,5/5/2026,
155,Minnesota Ice Water,"400 10,000 Lakes Blvd, St. Paul, MN 55101",400 10,000 Lakes Blvd,St. Paul,800-555-240,cold@mnicewater.com,Active,5/10/2026,
156,Absaroka Peak Water,"410 Yellowstone Gate Rd, Cody, WY 82414",410 Yellowstone Gate Rd,Cody,WY 82414,800-555-241,abs@absarokapeak.com,Active,5/10/2026,
157,Coastal Fog Bottling,"420 Morro Bay Pkwy, San Luis Obispo, CA 93401",420 Morro Bay Pkwy,San Luis Obispo,CA 93401,800-555-242,fog@coastalfog.com,Active,5/12/2026,
158,High Country Hydration,"430 Alpine Loop Rd, Durango, CO 81301",430 Alpine Loop Rd,Durango,CO 81301,800-555-243,info@highcountryh2o.com,Active,5/12/2026,
159,Salish Sea Springs,"440 Orca Way, Friday Harbor, WA 98250",440 Orca Way,Friday Harbor,WA 98250,800-555-244,salish@salishseawater.com,Active,5/14/2026,
160,Loess Hills Water,"450 Bluff Top Way, Council Bluffs, IA 51501",450 Bluff Top Way,Council Bluffs,IA 51501,800-555-245,info@loesshills.com,Active,5/14/2026,
161,Tahoe Blue Bottlers,"460 Crystal Bay Rd, Tahoe City, CA 96145",460 Crystal Bay Rd,Tahoe City,CA 96145,800-555-246,blue@tahoeblue.com,Active,5/15/2026,
162,Hilina Spring Co,"470 Sea Cliffs Way, Pahala, HI 96777",470 Sea Cliffs Way,Pahala,HI 96777,800-555-247,aloha@hilina.com,Active,5/15/2026,
163,Iron Range Mineral Co,"480 Ore Pit Rd, Hibbing, MN 55746",480 Ore Pit Rd,Hibbing,MN 55746,800-555-248,iron@ironrange.com,Active,5/16/2026,
164,Longleaf Springs,"490 Piney Woods Way, Valdosta, GA 31601",490 Piney Woods Way,Valdosta,GA 31601,800-555-249,longleaf@longleafsprings.com,Active,5/16/2026,
165,Centennial Spring,"500 Centennial Blvd, Cheyenne, WY 82001",500 Centennial Blvd,Cheyenne,WY 82001,800-555-250,ops@centennialspring.com,Active,5/18/2026,
166,Glacier Bay Water,"510 Ice Shelf Way, Juneau, AK 99801",510 Ice Shelf Way,Juneau,AK 99801,800-555-301,info@glacierbay.com,Inactive,3/1/2021,3/1/2023
167,Crystal Clear Co,"520 Diamond Rd, Tucson, AZ 85701",520 Diamond Rd,Tucson,AZ 85701,800-555-302,ops@crystalclearco.com,Inactive,6/15/2020,12/31/2022
168,Heritage Well Water,"530 Old Mill Rd, Salem, MA 01970",530 Old Mill Rd,Salem,MA 01970,800-555-303,history@heritagewell.com,Inactive,1/1/2019,9/30/2023
169,Canyon Rim Waters,"540 Rim Rock Dr, Grand Junction, CO 81501",540 Rim Rock Dr,Grand Junction,CO 81501,800-555-304,rim@canyonrim.com,Inactive,7/1/2021,1/15/2024
170,Rainier Reserve,"550 Summit Way, Tacoma, WA 98403",550 Summit Way,Tacoma,WA 98403,800-555-305,info@rainierreserve.com,Inactive,1/15/2022,6/30/2024
171,Mohave Aqua,"560 Joshua Tree Rd, Barstow, CA 92311",560 Joshua Tree Rd,Barstow,CA 92311,800-555-306,ops@mohaveaqua.com,Inactive,11/1/2021,11/1/2023
172,Delta Source Bottling,"570 Tributary Way, Memphis, TN 38103",570 Tributary Way,Memphis,TN 38103,800-555-307,info@deltasource.com,Inactive,9/1/2020,9/1/2023
173,Tidal Basin Waters,"580 Tidal Loop Rd, Washington, DC 20001",580 Tidal Loop Rd,Washington,DC 20001,800-555-308,dc@tidalbasin.com,Inactive,4/1/2022,4/1/2024
174,Old Faithful Spring,"590 Geyser Way, West Yellowstone, MT 59758",590 Geyser Way,West Yellowstone,MT 59758,800-555-309,faithful@oldfaithful.com,Inactive,5/1/2021,1/1/2025
175,Sunbelt Springs,"600 Orange Grove Blvd, Orlando, FL 32801",600 Orange Grove Blvd,Orlando,FL 32801,800-555-310,sun@sunbeltsprings.com,Inactive,2/1/2020,2/1/2024
176,Thunder Basin Water,"610 High Plains Rd, Gillette, WY 82716",610 High Plains Rd,Gillette,WY 82716,800-555-311,thunder@thunderbasin.com,Inactive,6/15/2022,6/15/2025
177,Pioneer Spring Works,"620 Wagon Trail Way, Abilene, TX 79601",620 Wagon Trail Way,Abilene,TX 79601,800-555-312,info@pioneerspring.com,Inactive,4/1/2019,12/31/2022
178,Piedmont Bottling House,"630 Tobacco Rd, Durham, NC 27701",630 Tobacco Rd,Durham,NC 27701,800-555-313,ops@piedmontbottling.com,Inactive,7/1/2020,7/1/2023
179,Wetlands Water Works,"640 Bayou Bend, Houma, LA 70360",640 Bayou Bend,Houma,LA 70360,800-555-314,wet@wetlandswater.com,Inactive,9/1/2021,9/1/2024
180,Iron Horse Mineral,"650 Rail Yard Rd, Cheyenne, WY 82001",650 Rail Yard Rd,Cheyenne,WY 82001,800-555-315,iron@ironhorsemineral.com,Inactive,1/15/2020,1/15/2023
