productID,supplierID,product_name,product_type,inventory,price_each,size_ml,flavor,active
77,124,Bayou Deep Mineral,Mineral,170,4,500,Original,1
78,125,Pacific Rim Reserve,Mineral,310,8.5,1500,Original,1
79,126,Everglades Reserve Mineral,Mineral,8,9.5,750,Original,1
80,127,Columbia Rare Spring,Sparkling,12,6,500,Rose,1
81,128,Rocky Reserve 10.0,Alkaline,5,9,1000,Original,1
82,129,New England Wild Berry,Sparkling,17,5.5,500,Wild Berry,1
83,130,Gulf Deep Mineral,Mineral,3,11,2000,Original,1
84,131,Denali Black Label,Alkaline,20,12,750,Original,1
85,132,Adirondack Reserve,Mineral,14,10,1500,Original,1
86,133,Mesa Rare Cactus Mineral,Mineral,9,8.5,750,Original,1
87,134,Great Plains Deep,Alkaline,22,7,1000,Original,1
88,135,Chesapeake Bay Reserve,Mineral,6,13,2000,Original,1
89,136,Volcanic Obsidian Sparkling,Sparkling,11,8,500,Yuzu,1
90,137,Teton Black Label Mineral,Mineral,18,14,1500,Original,1
91,138,Olympic Sunset Blend,Sparkling,0,3.25,500,Sunset Berry,0
92,139,Black Hills Lemon pH,Alkaline,0,4,500,Lemon,0
93,140,Flint Creek Tropical Fizz,Sparkling,0,3,500,Tropical,0
94,141,Rio Lime Sparkling,Sparkling,5,2.75,250,Lime,0
95,142,Piedmont Grapefruit Alkali,Alkaline,0,3.5,500,Grapefruit,0
96,143,Catskill Blackberry,Sparkling,0,3.75,500,Blackberry,0
97,144,Cascade Reserve 8,Alkaline,0,5,750,Original,0
98,145,Prairie Peach Pop,Sparkling,8,2.5,250,Peach,0
99,146,Blue Hole Classic Mineral,Mineral,0,4,750,Original,0
100,147,Smoky Mountain Cherry,Sparkling,0,3.5,500,Cherry,0
101,148,Willamette Pear Spring,Sparkling,3,4,500,Pear,0
102,149,Puget Mango pH,Alkaline,0,4.5,500,Mango,0
103,150,Salt Flat Classic,Mineral,0,3.25,500,Original,0
104,151,High Desert Orange,Sparkling,0,3,250,Orange,0
105,152,Finger Lakes Classic,Mineral,0,5.5,1000,Original,0
106,153,Bayou Vanilla Sparkle,Sparkling,0,3.25,500,Vanilla,0
107,154,Olympic Heritage Mineral,Mineral,0,7,1500,Original,0
108,155,Minnesota Birch pH,Alkaline,0,4.25,500,Birch,0
109,156,Absaroka Classic Spring,Mineral,0,5,750,Original,0
110,157,Coastal Morning Dew,Sparkling,0,3.5,500,Dew Drop,0
111,158,High Country Lavender,Sparkling,0,4,500,Lavender,0
112,159,Salish Cucumber Mineral,Mineral,0,6.5,750,Cucumber,0
113,160,Loess Hills Mint,Sparkling,0,3.25,250,Mint,0
114,161,Tahoe pH 10,Alkaline,0,6,1000,Original,0
115,162,Hilina Tropical Mineral,Mineral,0,8.5,750,Tropical,0
116,163,Iron Range Classic,Mineral,0,4.25,1000,Original,0
117,164,Longleaf Pecan Spring,Sparkling,0,3.5,500,Pecan,0
118,165,Centennial Anniversary Blend,Sparkling,0,4.75,750,Anniversary Berry,0
